step,epoch,cond2,inv_norm_2,G_frobenius,loss_total
0,0,1.8129323276863893,1.3571185685015583,1.5875439709938437,
50,0,1.7920749046884303,1.3491183473616999,1.576154618634972,0.20258521831637366
100,0,1.761794650636035,1.3345428299919222,1.5567284846338791,0.21000073017456175
150,0,1.7254667318396426,1.3166891484210204,1.5331226584900273,0.19697390242084417
200,0,1.6854295933656924,1.2971921245094586,1.5074506515614086,0.19690554382155617
250,0,1.6559508406228105,1.2862835598063842,1.480856493557821,0.1949833579216442
300,0,1.623114833448669,1.271885447064228,1.4546710780565486,0.20120735040917323
350,0,1.590962627135224,1.257407940618398,1.4301723950109793,0.19313091654682377
400,0,1.560213741904879,1.2435965606176416,1.4077208051803074,0.18926005403933413
450,0,1.5303421277139446,1.2307435951462697,1.3872644875617353,0.19747320853713124
500,0,1.5016406392619508,1.2188890258982095,1.3686713992099813,0.19224620784755783
550,0,1.4749434389716563,1.2082300310834926,1.3519087466910986,0.19299972143554242
600,0,1.4505993065876739,1.1988219983962038,1.3366993753422283,0.19336754536930884
650,0,1.4273375972686126,1.1893287911471293,1.3228505284556569,0.19155674988457572
700,0,1.4048870673683156,1.1801065678497942,1.3101774666191228,0.18217187122396583
750,1,1.383452317238877,1.17052166257444,1.298486597435982,0.19030797303935693
800,1,1.3642621066840679,1.1619141202470975,1.2877561956802785,0.18658582132133153
850,1,1.3443702704838008,1.1531928573757642,1.2779521501240239,0.19186210521082797
900,1,1.3251540027347555,1.1447326615230913,1.2690114619202404,0.18528122455525992
950,1,1.3072377761191711,1.1389112662273804,1.2609483488093842,0.18660485618986428
1000,1,1.2896214303899152,1.1333077109648166,1.253610440508415,0.18644743865289978
1050,1,1.2705144150674659,1.1266729900572605,1.2470227575952753,0.18628235940943907
1100,1,1.251034988592674,1.1186650164425793,1.241014699469022,0.18140828705095746
1150,1,1.2317325166398858,1.1099429479857705,1.2356038828114149,0.19080267528985434
1200,1,1.212131685472325,1.1009716748010607,1.2307495847578784,0.19425479310790525
1250,1,1.1926474176896185,1.092087051980821,1.2264519741298732,0.1829118706346476
1300,1,1.1739611887194636,1.0834879600731284,1.222731395043017,0.18981633251587612
1350,1,1.1558396287976915,1.0750921845116679,1.2195356871928689,0.18343798683086585
1400,1,1.1384503467232152,1.0669732739162392,1.2168541041051133,0.18503135712240973
1450,1,1.1214077128292899,1.058976089599171,1.2145303890727688,0.1853912102266603
1500,2,1.1048002391588965,1.051065907302568,1.2125832336766538,0.17827343130524687
1550,2,1.0891206910437226,1.043598149670238,1.2110142836861433,0.1942232432605106
1600,2,1.0763013507055683,1.0374510381455169,1.2097612797257868,0.19332340303236703
1650,2,1.0653884221998018,1.0321812939742372,1.208730902838916,0.17820988498393925
1700,2,1.0571403449117671,1.0281728505911325,1.207832099179573,0.19086152139285742
1750,2,1.0487657805272712,1.0240925661679041,1.2070626644428673,0.1806214123587878
1800,2,1.040368108168933,1.0199842170069107,1.206442494171785,0.17021000264717287
1850,2,1.0318281046301934,1.015789493661111,1.2059717721859218,0.18483482784499178
1900,2,1.0232356263974345,1.0115506464045243,1.2056699435930518,0.18070586963444446
1950,2,1.0145557597045793,1.0072520073247406,1.205526276071915,0.19283563038808524
2000,2,1.006094087589437,1.0030474972425496,1.2054549203269165,0.18484399222280937
2050,2,1.0005639170270348,1.0002631460845188,1.2054396707497306,0.1848178426656095
2100,2,1.0006830164556,1.0003233526720243,1.205439741835703,0.1833261277656513
2150,2,1.0005404807300298,1.0002656367657612,1.2054396479543468,0.1769600240553826
2200,2,1.0005217963517405,1.000262604642238,1.2054396240748322,0.1850311859869594
2250,3,1.0005994165178629,1.0003093877062021,1.2054396641655203,0.18205847028479422
2300,3,1.0005633496761825,1.0002746371936746,1.2054397624110604,0.1856196149743682
2350,3,1.0006545784865701,1.0003194705760037,1.2054397348656305,0.19203684162552284
2400,3,1.000588627543932,1.000322592820557,1.20543970038297,0.19336126563166747
